期号,hundreds,tens,units,number,日期,sum_value,span_value,odd_count,prime_count,large_count,form_type,repeat_count
2002002,2,3,7,237,2002-01-02,12,5,2,3,1,group6,0
2002004,2,0,4,204,2002-01-04,6,4,0,1,0,group6,1
2002005,3,7,4,374,2002-01-05,14,4,2,2,1,group6,1
2002006,1,2,8,128,2002-01-06,11,7,1,1,1,group6,0
2002007,8,4,9,849,2002-01-07,21,5,1,0,2,group6,1
2002008,8,5,2,852,2002-01-08,15,6,1,2,2,group6,1
2002009,1,5,5,155,2002-01-09,11,4,3,2,2,group3,1
2002010,7,9,5,795,2002-01-10,21,4,3,2,3,group6,1
2002011,2,1,7,217,2002-01-11,10,6,2,2,1,group6,1
2002012,4,8,2,482,2002-01-12,14,6,0,1,1,group6,1
2002013,9,8,6,986,2002-01-13,23,3,1,0,3,group6,1
2002014,2,3,2,232,2002-01-14,7,1,1,3,0,group3,0
2002015,8,7,1,871,2002-01-15,16,7,2,1,2,group6,0
2002016,1,7,1,171,2002-01-16,9,6,3,1,1,group3,2
2002017,1,0,2,102,2002-01-17,3,2,1,1,0,group6,1
2002018,1,7,8,178,2002-01-18,16,7,2,1,2,group6,1
2002019,4,4,6,446,2002-01-19,14,2,0,0,1,group3,0
2002020,7,3,7,737,2002-01-20,17,4,3,3,2,group3,0
2002021,8,5,9,859,2002-01-21,22,4,2,1,3,group6,0
2002022,9,4,7,947,2002-01-22,20,5,2,1,2,group6,1
2002023,6,8,1,681,2002-01-23,15,7,1,0,2,group6,0
2002024,1,9,7,197,2002-01-24,17,8,3,1,2,group6,1
2002025,5,1,3,513,2002-01-25,9,4,3,2,1,group6,1
2002026,7,8,0,780,2002-01-26,15,8,1,1,2,group6,0
2002027,2,4,8,248,2002-01-27,14,6,0,1,1,group6,1
2002028,8,1,0,810,2002-01-28,9,8,1,0,1,group6,1
2002029,9,5,3,953,2002-01-29,17,6,3,2,2,group6,0
2002030,5,2,5,525,2002-01-30,12,3,2,3,2,group3,1
2002031,5,1,1,511,2002-01-31,7,4,3,1,1,group3,1
2002032,1,3,3,133,2002-02-01,7,2,3,2,0,group3,1
2002033,9,6,4,964,2002-02-02,19,5,1,0,2,group6,0
2002034,7,3,4,734,2002-02-03,14,4,2,2,1,group6,1
2002035,9,1,2,912,2002-02-04,12,8,2,1,1,group6,0
2002036,3,3,4,334,2002-02-05,10,1,2,2,0,group3,0
2002037,7,0,6,706,2002-02-06,13,7,1,1,2,group6,0
2002038,5,1,6,516,2002-02-07,12,5,2,1,2,group6,1
2002039,6,2,2,622,2002-02-08,10,4,0,2,1,group3,1
2002040,3,0,5,305,2002-02-09,8,5,2,2,1,group6,0
2002041,4,3,6,436,2002-02-10,13,3,1,1,1,group6,1
2002042,1,1,6,116,2002-02-11,8,5,2,0,1,group3,1
2002043,1,9,0,190,2002-02-19,10,9,2,0,1,group6,1
2002046,6,4,6,646,2002-02-22,16,2,0,0,2,group3,0
2002047,1,1,8,118,2002-02-23,10,7,2,0,1,group3,0
2002048,4,0,9,409,2002-02-24,13,9,1,0,1,group6,0
2002049,8,3,0,830,2002-02-25,11,8,1,1,1,group6,1
2002050,3,5,2,352,2002-02-26,10,3,2,3,1,group6,1
2002051,4,7,6,476,2002-02-27,17,3,1,1,2,group6,0
2002052,5,6,5,565,2002-02-28,16,1,2,2,3,group3,1
2002053,3,5,2,352,2002-03-01,10,3,2,3,1,group6,1
2002054,4,5,7,457,2002-03-02,16,3,2,2,2,group6,1
2002056,7,3,3,733,2002-03-04,13,4,3,3,1,group3,1
2002057,7,6,3,763,2002-03-05,16,4,2,2,2,group6,2
2002058,8,0,0,800,2002-03-06,8,8,0,0,1,group3,0
2002059,8,1,8,818,2002-03-07,17,7,1,0,2,group3,1
2002060,6,9,2,692,2002-03-08,17,7,1,1,2,group6,0
2002061,8,7,8,878,2002-03-09,23,1,1,1,3,group3,0
2002062,3,4,1,341,2002-03-10,8,3,2,1,0,group6,0
2002063,4,0,8,408,2002-03-11,12,8,0,0,1,group6,1
2002064,7,7,9,779,2002-03-12,23,2,3,2,3,group3,0
2002065,8,5,2,852,2002-03-13,15,6,1,2,2,group6,0
2002066,1,2,1,121,2002-03-14,4,1,2,1,0,group3,1
2002067,6,5,7,657,2002-03-15,18,2,2,2,3,group6,0
2002068,4,8,2,482,2002-03-16,14,6,0,1,1,group6,0
2002069,8,7,4,874,2002-03-17,19,4,1,1,2,group6,2
2002070,9,3,3,933,2002-03-18,15,6,3,2,1,group3,0
2002071,8,3,0,830,2002-03-19,11,8,1,1,1,group6,1
2002072,2,2,2,222,2002-03-20,6,0,0,3,0,leopard,0
2002073,7,0,8,708,2002-03-21,15,8,1,1,2,group6,0
2002074,3,1,9,319,2002-03-22,13,8,3,1,1,group6,0
2002075,2,7,6,276,2002-03-23,15,5,1,2,2,group6,0
2002076,8,6,7,867,2002-03-24,21,2,1,1,3,group6,2
2002077,2,3,9,239,2002-03-25,14,7,2,2,1,group6,0
2002078,2,7,3,273,2002-03-26,12,5,2,3,1,group6,2
2002079,1,3,2,132,2002-03-27,6,2,2,2,0,group6,2
2002080,4,4,3,443,2002-03-28,11,1,1,1,0,group3,1
2002081,5,5,6,556,2002-03-29,16,1,2,2,3,group3,0
2002082,4,6,0,460,2002-03-30,10,6,0,0,1,group6,1
2002083,3,1,5,315,2002-03-31,9,4,3,2,1,group6,0
2002085,1,0,6,106,2002-04-02,7,6,1,0,1,group6,1
2002086,2,9,9,299,2002-04-03,20,7,2,1,2,group3,0
2002087,2,8,3,283,2002-04-04,13,6,1,2,1,group6,1
2002088,7,7,5,775,2002-04-05,19,2,3,3,3,group3,0
